Q,A
So my name's Salam. I work in the computational linguistics lab in the computer science. And I'm going to ask you some questions today to get to know you.,Nice to meet you.
Thank you. So what's your name?,I Am Margarita Bichec.
Nice to meet you.,Nice to meet you too.
Do you study here.,I go to NYU Abu Dhabi.
OK.,What about you?
I finish my studies but I work here.,OK.
Yes. Where where are you from?,I am from Moldova. It's a small country in Eastern Europe between Romania and Ukraine.
"OK, nice. How long have you been here?",I've been here for four years. This is my senior year.
It's nice. What was your major?,I Study music and economics. So in music and study composition and technology and economics is just my minor.
Oh that's nice.,Thank you!
So Have you had any programming courses.,I took one Intro to Computer Science class. I studied a little bit of Python and that was great but I had to pass fail the class because I wasn't doing as great as I thought I would. My brother's a computer scientist as well.
That's nice. So I think that you have infused programming in your... I don't know - New projects throughout since you studied music technology composition.,I have used the programming in the way that I used python for one of my business classes is Negotiating because I would have to negotiate deals with people and I would have to manipulate big numbers right away and I did not have time for that. So I created my own calculator from Python that would do that for me.
Oh that's impressive.,Thank you.
So are you... Did you start your Capstone?,So my capstone ... I started my capstone since the beginning of fall and it is... it will be about combining Romanian music with Dutch music composing both and combining them.
I was about to ask are you going to use any of your cultural background in your capstone. .. What about languages? How many languages speak?,I speak five languages. So my first language is Romanian and Russian. And then I learned French and English at school and recently learned Spanish.
"Oh, nice. Have You learned Arabic?",I did not have time to learn Arabic. It's a beautiful language and I wish I studied it.
Indeed. And what do you think of Arabic music?,I think Arabic music is very intricate and it sounds exotic to me... Because I do not know that much about us but I think it is very rich and beautiful.
OK. And what you want to do after you graduate?,After I graduate. I have many different plans either to continue my studies at grad school and get my masters degree or go into consulting or get a job in the music industry hopefully composition and technology.
And what would you do if you work in the consulting industry.,I would just do whatever that job is supposed to do... I would be solving problems of other companies. I like consulting particularly because I love interacting with people and I have very problem solving oriented mindset and I love helping out so I feel like it would be a good match for me even though focused on music until now.
That's nice.,Thank you.
